id,class,subject,Topic,ebook,videos
684,IX,Science,Matters in Our Surroundings,,Sublimation - Class 9 Science.mp4
685,IX,Science,Tissues,,Structure of Cell Nucleus.mp4
686,X,Maths,Real Numbers,Chap-1Real Numbers .pdf,
687,X,Maths,Polynomials,Chap-2 Polynomials.pdf,
688,X,Maths,Pair of Linear Equations in Two Vriables,Chap-3 Linear Equations in 2 variables.pdf,
689,X,Maths,Quadratic Equations,Chap4 Quadratic Equations .pdf,
690,X,Maths,Arithmetic Progressions,Chap-5 Arithmetic Progressions.pdf,
691,X,Maths,Triangles,Chap-6 Triangles .pdf,
692,X,Maths,Coordinate Geometry,Chap7 Coordinate Geometry .pdf,
693,X,Maths,Introduction to Trignometry,Chap8 Trigonometry.pdf,
694,X,Maths,Some Applications of Trignometry,Chap9 Heights & Distances .pdf,
695,X,Maths,Circles,Chap10 Circles.pdf,
696,X,Maths,Constructions,Chap11 Constructions.pdf,
697,X,Maths,Surface Areas and Volumes,Chap-13 Surface Areas & Volumes.pdf,
698,X,Maths,Areas related to circles,Chap-12 Areas related to Circles.pdf,
699,X,Maths,Statistics,Chap-14 Statistics .pdf,
700,X,Maths,Probability,Chap15 Probability.pdf,
701,X,Science,Chemical Reactions and Equations,Class X Chemical Reactions and Equations.pdf,
702,X,Science,Metals and Non Metals,Class X Metal and Non Metals.pdf,
703,General Knowledge,India Our Country,Basic GK,Our Country India - Basics Quiz.pdf,
704,IX,Science,Force and Laws Of Motion,,motion1.swf
705,IX,Science,Force and Laws Of Motion,,motion2.swf
